Word , Frequency
हवाले , 95
हम , 2212
ईटीआईएम , 1
अन्य , 1392
आतंकवादी , 116
अफगानिस्तान , 186
पनपने , 3
रोकने , 128
एकता , 53
आह्वान , 35
करते , 1968
फिर , 1170
गतिविधियों , 94
अड्डा , 7
स्रोत , 50
बनने , 156
उसकी , 629
पूछा , 138
शाहरुख , 154
प्रियंका , 195
चोपड़ा , 125
दीपिका , 135
पादुकोण , 84
अनुपम , 37
खेर , 31
अलावा , 1083
सेलिब्रिटीज , 6
ऋषि , 37
मिलने , 320
थे। , 1659
घायल , 739
छात्र , 191
अस्पताल , 1034
भर्ती , 499
नए , 435
निवेश , 187
बचें , 30
छोटीछोटी , 13
चीजें , 154
अफेक्ट , 3
आखिरकार , 66
शगुन , 1
वहाँ , 72
बाकी , 237
ख़बरें , 2
बताया , 1342
आरजेडी , 27
सुप्रीमो , 18
लालू , 54
प्रसाद , 154
यादव , 303
बेटे , 287
तेजप्रताप , 9
तेजस्वी , 28
दूरियां , 3
बढ़ती , 102
व्यायाम , 54
शुरुआत , 277
डॉक्टर , 205
परामर्श , 56
जरुर , 24
ले। , 26
वरिष्ठ , 350
अधिकारी , 682
मुताबिक , 468
संबंध , 543
शिकायतें , 14
आने , 583
एफ़आईआर , 3
सकती , 652
पूरी , 905
गंभीरता , 77
सारे , 224
बिंदुओं , 16
बॉलीवुड , 520
एक्ट्रेस , 233
कंगना , 82
रनौत , 49
सोशल , 573
काफी , 1468
एक्टिव , 76
मेरे , 875
पास , 1111
लाइट , 37
रोमांटिक , 34
स्क्रिप्ट , 19
करोड़ों , 19
रुपए , 415
सामान , 87
जल , 164
मोबाइल , 299
आपका , 214
जीमेल , 4
अकाउंट , 146
एक्टिवेट , 2
वस्तुत , 4
वहां , 557
अभीए , 1
नहीं। , 293
हिंदू , 149
धर्म , 169
कुंडली , 3
महत्व , 98
नाइजीरिया , 8
मस्जिद , 54
विस्फोट , 66
कम , 1193
सीरियल , 15
नोटों , 6
सिक्का , 6
जमा , 144
शौकीनों , 2
खूब , 194
आकर्षित , 32
छेड़छाड़ , 7
डकैती , 15
धाराओं , 67
लिखा , 387
बहुमत , 57
सीटें , 145
दूर , 268
रह , 294
पेशाब , 6
खून , 80
किडनी , 16
पथरी , 1
लक्षण , 74
पता , 860
चला , 197
पांच , 406
गिरफ़्तार , 16
जिला , 415
प्लान , 104
चेन्नई , 119
सर्किल , 7
समसामयिक , 2
मुद्दों , 114
सम्बन्धित , 13
प्रष्न , 1
पूछे , 74
जायेंगे , 13
अभिनेत्री , 250
सोनाक्षी , 45
सिन्हा , 101
यमला , 1
पगला , 1
दीवाना , 7
गीत , 36
थिरकती , 1
नजर , 693
आएंगी , 38
इसमें , 1721
कांग्रेस , 1555
मुस्लिम , 125
लीग , 79
एवं , 911
दलों , 123
प्राप्त , 364
हुए। , 198
राजनीतिक , 277
पार्टियां , 28
विरोध , 345
बॉबी , 27
देओल , 53
यूलियी , 1
वंतूर , 4
धमाकेदार , 16
स्टेज , 12
आग , 333
लगा , 500
मिट्टी , 26
प्रकार , 437
आटा , 33
खाद्य , 81
पदार्थों , 55
तलना , 1
सकते , 1507
बैठक , 548
मंडलों , 3
कार्यकारिणी , 21
होंगे। , 287
अतः , 22
नाम , 838
पर्योयवाचक , 1
हैँ। , 13
पूरा , 493
मांग , 516
फ्रूट्स , 4
वेजिटेबल्स , 1
डाइट , 45
शॉर्ट , 22
फीचर , 85
एनिमेशन , 3
फिक्शन , 3
एड , 11
फिल्में , 77
डॉक्यूमेंट्री , 3
दिखाई , 201
कालीन , 4
सिंथेटिक , 5
साफ , 236
अपेक्षाकृत , 12
आसान , 297
होगा। , 805
रगड़ , 3
नमी , 15
अवशोषित , 12
करता , 1123
जल्दी , 113
सूखता , 1
उनका , 628
आदर , 13
केन्द्रीय , 36
स्मृति , 31
ईरानी , 36
धमेन्द्र , 2
प्रधान , 102
रोड , 80
शो , 276
नामांकन , 39
पत्र , 338
मौजूद , 593
इतना , 249
लग , 306
हैरान , 69
कोई , 3088
यूज , 20
पिधली , 1
चॉकलेट , 23
मक्खन , 24
मिक्सचर , 6
मिलाएं। , 77
मलिक , 49
मोहम्मद , 182
जायसी , 1
काव्य , 3
आधारित , 145
बतौर , 64
आएंगे। , 93
तकरीबन , 37
बजे , 55
रात , 217
हत्याकांड , 24
अंजाम , 81
एंजेसियों , 1
भ्रम , 24
रखने , 326
खातों , 33
लगभग , 330
करोड़ , 81
किये , 148
मातापिता , 113
कवि , 20
शायद , 151
संदल , 1
सहभागिता , 11
पक्षों , 101
ओर , 740
काउंटर , 4
केस , 372
हाल , 560
पुस्तक , 42
नया , 318
संस्करण , 39
व्यवस्था , 240
बढ़ी , 42
क्यूंकी , 3
ऐसा , 1635
चाहते , 465
नही , 319
मतों , 20
गिनती , 17
संबंधित , 316
प्रस्ताव , 170
जल्द , 552
कैबिनेट , 78
समक्ष , 72
मंजूरी , 135
जनहित , 18
याचिका , 243
दायर , 129
गणतंत्र , 26
दिवस , 121
हस्तियों , 31
सलाम , 17
ट्रम्प , 35
मेलानिया , 7
नमस्ते , 6
कार्यक्रम , 428
तस्वीर , 259
साझा , 172
मैच , 545
अबुधावी , 1
खेला , 72
जाना , 433
आंखें , 28
आंसुओं , 3
भर , 288
बहरहाल , 46
चालक , 281
मौके , 1111
फरार , 232
भाजपा , 1304
द्वारा , 1113
परिसीमन , 6
अधिकारियों , 491
केन्द्र , 64
विधानसभा , 483
क्षेत्रों , 255
अनुसूचित , 22
जातियों , 14
आरक्षित , 22
सीटों , 280
आयोग , 231
गठन , 123
फर्जी , 63
जिक्र , 57
हमें , 704
राजनीति , 200
पीछे , 241
छोड़ना , 14
शहर , 326
समाज , 200
जनसंख्या , 39
करीब , 460
हजार , 143
कनेक्टिविटी , 68
फोन , 566
़डुअल , 1
बैंड , 25
वाईफाई , 62
ब्लूटूथ , 51
हेडफोन , 7
जैक , 29
मिलेगा। , 170
फतेहाबाद , 3
लाख , 442
हेक्टेयर , 12
गेहूं , 22
बिजाई , 1
आक्सीजन , 13
सैचुरेशन , 1
फीसद , 39
अधिक , 829
होना , 520
चाहिए। , 858
फैसला , 440
दर्शाता , 32
कल्याण , 90
विचार , 286
फायरिंग , 62
इंकार , 57
आपके , 596
साथएक , 1
कहानी , 183
बाँटना , 2
चाहता , 315
हालांकि , 1227
मसूरी , 7
दौरे , 167
बना , 430
पुल , 34
ताश , 1
पत्तों , 2
ढह , 11
जागरूकता , 35
प्रसार , 40
अनिवार्य , 102
साईदीप , 1
फिल्म्स , 18
बैनर , 25
तले , 18
बन , 310
निर्माता , 140
निर्देशक , 87
राजकुमार , 56
आर , 99
पांडेय , 30
फूड , 52
पॉलिसी , 27
रिसर्च , 60
इंस्टिट्यूट , 8
तैयार , 538
स्क्रब , 3
ज्यादा , 858
पतला , 10
चाहिये , 43
गाढा , 3
हो। , 186
बालिका , 19
डॉक्टरी , 7
परीक्षण , 106
विजयी , 25
सराहना , 79
निश्चित , 163
विकास , 488
हिस्सेदारी , 45
क्षमता , 147
अकेली , 29
आवाज़ , 10
जरूरी , 366
आसमाँन , 1
घने , 17
काले , 62
बादल , 46
छा , 26
चुके , 407
उत्तर , 585
अवश्य , 49
गाजि़याबाद , 1
सिटी , 65
अशोक , 91
मोंगा , 2
पहुंचकर , 99
लैटरपैड , 1
लिखकर , 35
पैसा , 109
शूटिंग , 193
वीडियोज , 31
सेट , 50
लीक , 22
हर , 881
प्रथम , 77
पुरस्कार , 146
जाएंगे। , 194
गिर , 61
उससे , 270
बचाव , 116
लगातार , 404
प्रयास , 344
रहे , 2939
उसमें , 180
बच्चे , 425
इतनी , 115
ऑस्ट्रेलिया , 216
देशभक्ति , 12
भावना , 55
भरपूर , 98
दशकों , 23
चली , 92
आ , 843
समान , 121
विपरीत , 48
प्रतिक्रियाएं , 10
काम , 1684
पेट्रोलडीजल , 41
कीमतें , 39
बढ़ , 73
बर्खास्त , 17
डोनाल्ड , 77
ट्रंप , 195
जानिए , 69
चलता , 111
अमेरिका , 490
राष्ट्रपति , 487
महाभियोग , 8
प्रक्रिया , 319
सप्ताह , 124
दाम , 142
लगे। , 54
शेट्टी , 78
फिल्मों , 229
साथसाथ , 182
कार , 341
उड़ाने , 4
खतरनाक , 90
स्टंट , 7
ब्लास्ट , 11
हवा , 78
लहराते , 4
हेलिकॉप्टर , 16
जाते , 321
दिल्ली , 1437
पेट्रोल , 157
डीजल , 130
बार , 1110
बढ़ा , 124
गईं। , 70
डिवाइस , 69
फास्ट , 30
चार्जिंग , 28
एमएएच , 16
बैटरी , 108
वाकई , 107
प्रसन्नता , 14
एनसीबी , 33
आरोपों , 124
खंडन , 26
गलत , 234
व , 1174
आधारहीन , 6
भयानक , 32
युद्ध , 98
लड़ा , 22
माफी , 75
हूं , 935
जीत , 470
मिली। , 109
तालिबानियों , 1
मुंबई , 575
खिलाड़ी , 240
यानी , 111
दिनों , 553
सुर्ख़ियों , 4
बने , 224
इसपर , 52
सबकी , 35
इलाज , 435
रघुवर , 3
दास , 55
मारुति , 35
सुजुकी , 22
लीटर , 115
इंजन , 101
अमेरिकी , 248
हार्ले , 4
डेविडसन , 1
इंपोर्ट , 3
निशाना , 111
साधा , 37
सुबह , 147
छिटपुट , 8
खरीद , 101
गति , 66
बढ़ , 290
इनके , 204
पिता , 388
दौराचंद , 1
दादा , 21
पीताम्बर , 1
मिक , 2
फोटो , 265
अक्सर , 157
वायरल , 258
शरमन , 3
जोशी , 68
मु्ख्य , 1
किरदार , 188
परेशानी , 180
पड़ , 59
गुड़ , 5
कूटें , 1
घटकों , 9
मिला , 326
दें। , 155
सिर , 104
गहरी , 44
चोट , 161
लगने , 131
यूपी , 118
बनाई , 143
संकल्प , 33
भूल , 72
अनुभव , 184
चाहेंगे , 18
न्यायिक , 73
अकादमी , 21
शीर्ष , 169
फैसले , 237
पढ़ाये , 1
चाहिएं , 4
निचली , 13
अदालतों , 13
उच्च , 259
न्यायालयों , 6
ताकि , 180
न्यायाधीशों , 14
आवश्कता , 2
भादंवि , 5
धारा , 181
तहत , 550
प्रकरण , 77
असंतोष , 9
रतुल , 1
पुरी , 33
अगस्तावेस्टलैंड , 1
घेरे , 13
अनुसार , 631
क्राइस्टचर्च , 2
मस्जिदों , 11
हमले , 332
लाइवस्ट्रीम , 1
देखा , 277
हमलावर , 47
ब्रेंटन , 1
